Section,Magnetic,,Non-Magnetic,,,
,MonoTri,,Mono,,Tri,
,0.8,0.95,0.8,0.95,0.8,0.95
1.5,23,27.4,23.3,27.6,20.2,23.9
2.5,14,16.8,14.3,16.9,12.4,14.7
4,9,10.5,8.96,10.6,7.79,9.15
6,5.87,7,06.03,07.07,5.25,6.14
10,3.54,4.2,3.63,4.23,3.17,3.67
16,2.27,2.7,2.32,2.68,02.03,2.33
25,1.5,1.72,1.51,1.71,1.33,1.49
35,1.12,1.25,1.12,1.25,0.98,01.09
50,0.86,0.95,0.85,0.94,0.76,0.82
70,0.64,0.67,0.62,0.67,0.55,0.59
95,0.5,0.51,0.48,0.5,0.43,0.44
120,0.42,0.42,0.4,0.41,0.36,0.36
150,0.37,0.35,0.35,0.34,0.31,0.3
185,0.32,0.3,0.3,0.29,0.27,0.25
240,0.29,0.25,0.26,0.24,0.23,0.21
300,0.27,0.22,0.23,0.2,0.21,0.18
400,0.24,0.2,0.21,0.17,0.19,0.15
500,0.23,0.19,0.19,0.16,0.17,0.14
